Source;Post;ID ath;Data;type;like;comm;reposts;views
-167770589;-167770589;-167770589;1623323906;1;5;0;1;53
-168640775;-168640775;-168640775;1624726386;1;59;7;6;1585
-168868337;-168868337;-168868337;1622538007;1;4;1;1;142
-169006158;-169006158;-169006158;1622626560;1;0;0;0;7
-169667370;-169667370;-169667370;1623011619;1;33;6;4;679
-171249061;-171249061;-171249061;1623151620;1;5;7;1;1310
-169667370;-169667370;-169667370;1622523721;1;36;17;14;715
-169667370;-169667370;-169667370;1623099865;1;36;15;4;824
6769;-169667370;133314114;1623428681;0,5;1;0;0;0
-169667370;-169667370;-169667370;1623792418;1;30;4;3;597
-171249061;-171249061;-171249061;1622472300;1;2;2;2;824
-169667370;-169667370;-169667370;1623647520;1;25;2;0;611
-149019489;-149019489;-149019489;1622720106;1;0;0;0;85
6683;-169667370;573636;1623956175;0,5;0;0;0;0
7023;-169667370;60112180;1623838659;0,5;1;0;0;0
-169667370;-169667370;-169667370;1624825800;1;48;1;3;712
7306;-169667370;-169667370;1624738699;0,5;0;0;0;0
-169667370;-169667370;-169667370;1624716909;1;25;5;1;649
-169667370;-169667370;-169667370;1624649624;1;31;2;3;555
-170719719;-170719719;-170719719;1623460879;1;0;0;0;6
-170792929;-170792929;-170792929;1624700011;1;0;0;0;1
-169997306;-169997306;-169997306;1623876859;1;2;0;1;76
-170178202;-170178202;-170178202;1622613834;1;0;0;0;192
-170178202;-170178202;-170178202;1622462420;1;0;0;0;420
-170178202;-170178202;-170178202;1622607566;1;0;0;0;147
-170178202;-170178202;-170178202;1623216321;1;0;0;0;143
-170178202;-170178202;-170178202;1623132387;1;0;0;0;160
-170512327;-170512327;-170512327;1622470260;1;2;1;1;132
-170710190;-170710190;-170710190;1622707061;1;2;0;0;127
-177086325;-177086325;-177086325;1624287609;1;4;0;13;1050
-169997306;-169997306;-169997306;1623486187;1;5;0;1;116
-170908048;-170908048;-170908048;1623134400;1;2;0;0;98
-170908048;-170908048;-170908048;1623912000;1;5;0;0;123
-170908048;-170908048;-170908048;1624430400;1;5;0;0;102
-171248546;-171248546;-171248546;1624692330;1;5;0;0;52
-171249061;-171249061;-171249061;1622622601;1;10;12;18;2910
-172346206;-172346206;-172346206;1622556948;1;40;0;5;1169
-175478567;-175478567;-175478567;1624867702;1;0;0;0;19
-171505094;-171505094;-171505094;1624174680;1;22;0;1;160
-171573887;-171573887;-171573887;1623265996;1;30;2;2;432
-171597883;-171597883;-171597883;1623346080;1;97;45;64;25883
-171598560;-171598560;-171598560;1623769483;1;7;0;1;2653
-171774236;-171774236;-171774236;1623182880;1;3;0;2;641
-172037076;-172037076;-172037076;1622476924;1;0;0;0;18
-172042186;-172042186;-172042186;1622545500;1;3;2;0;193
-175478567;-175478567;-175478567;1622986111;1;0;0;0;5
-172377246;-172377246;-172377246;1623460838;1;0;0;0;6
-175493920;-175493920;-175493920;1622552547;1;0;0;0;3
-172981518;-172981518;-172981518;1623388440;1;0;0;0;19
-172981518;-172981518;-172981518;1623474006;1;0;0;0;17
-172981518;-172981518;-172981518;1624777531;1;0;0;0;284
-17307358;-17307358;-17307358;1624818385;1;12;8;3;634
-173185323;-173185323;-173185323;1623253292;1;1;0;0;151
-173190095;-173190095;-173190095;1624281211;1;11;6;3;118
-173332377;-173332377;-173332377;1624350654;1;10;0;2;663
-174838347;-174838347;-174838347;1624564532;1;0;0;0;35
-175080258;-175080258;-175080258;1622565888;1;116;6;26;3985
-174132975;-174132975;-174132975;1622554187;1;0;0;0;11
-174132975;-174132975;-174132975;1623002370;1;0;0;0;19
-174209326;-174209326;-174209326;1624888461;1;0;0;0;3
-174265589;-174265589;-174265589;1622969232;1;27;14;1;253
-174436939;-174436939;-174436939;1623846277;1;12;0;1;467
-174832330;-174832330;-174832330;1622458339;1;0;0;0;4
-173651306;-173651306;-173651306;1623498392;1;12;0;1;903
612397;-175080258;196324323;1622566433;0,5;0;0;0;0
